"CARRIER","DEP_TIME","DEST","FL_DATE","ORIGIN","Weather","Flight.Status"
"DH",1641,"JFK","01/02/2004","DCA",0,"ontime"
"DH",1249,"LGA","01/02/2004","IAD",0,"ontime"
"DH",1531,"LGA","01/02/2004","IAD",0,"delayed"
"DH",1712,"LGA","01/02/2004","IAD",0,"ontime"
"DH",645,"LGA","01/02/2004","IAD",0,"ontime"
"DH",1236,"LGA","01/02/2004","IAD",0,"delayed"
"DH",859,"JFK","01/02/2004","IAD",0,"ontime"
"DH",1232,"JFK","01/02/2004","IAD",0,"ontime"
"DH",1455,"JFK","01/02/2004","IAD",0,"ontime"
"DH",1645,"JFK","01/02/2004","IAD",0,"ontime"
"DH",1716,"JFK","01/02/2004","IAD",0,"ontime"
"DH",2305,"JFK","01/02/2004","IAD",0,"delayed"
"DH",1605,"JFK","01/02/2004","IAD",0,"ontime"
"DH",2118,"LGA","01/02/2004","IAD",0,"ontime"
"DL",1458,"JFK","01/02/2004","DCA",0,"ontime"
"DL",930,"LGA","01/02/2004","DCA",0,"ontime"
"DL",1230,"LGA","01/02/2004","DCA",0,"ontime"
"DL",1427,"LGA","01/02/2004","DCA",0,"ontime"
"DL",1730,"LGA","01/02/2004","DCA",0,"ontime"
"DL",2028,"LGA","01/02/2004","DCA",0,"ontime"
"MQ",1522,"JFK","01/02/2004","DCA",0,"ontime"
"MQ",552,"JFK","01/02/2004","DCA",0,"ontime"
"MQ",1847,"JFK","01/02/2004","DCA",0,"ontime"
"MQ",852,"LGA","01/02/2004","DCA",0,"ontime"
"MQ",1053,"LGA","01/02/2004","DCA",0,"ontime"
"MQ",1258,"LGA","01/02/2004","DCA",0,"ontime"
"MQ",1402,"LGA","01/02/2004","DCA",0,"ontime"
"MQ",1456,"LGA","01/02/2004","DCA",0,"ontime"
"UA",850,"LGA","01/02/2004","IAD",0,"ontime"
"US",657,"LGA","01/02/2004","DCA",0,"ontime"
"US",857,"LGA","01/02/2004","DCA",0,"ontime"
"US",1058,"LGA","01/02/2004","DCA",0,"ontime"
"US",1258,"LGA","01/02/2004","DCA",0,"ontime"
"US",1458,"LGA","01/02/2004","DCA",0,"ontime"
"US",1655,"LGA","01/02/2004","DCA",0,"ontime"
"US",1855,"LGA","01/02/2004","DCA",0,"ontime"
"US",2056,"LGA","01/02/2004","DCA",0,"ontime"
"RU",1715,"EWR","01/02/2004","BWI",0,"ontime"
"RU",1030,"EWR","01/02/2004","BWI",0,"ontime"
"RU",656,"EWR","01/02/2004","BWI",0,"ontime"
"RU",1456,"EWR","01/02/2004","BWI",0,"ontime"
"CO",1727,"EWR","01/02/2004","DCA",0,"ontime"
"CO",1301,"EWR","01/02/2004","DCA",0,"ontime"
"CO",754,"EWR","01/02/2004","DCA",0,"ontime"
"DH",837,"EWR","01/02/2004","IAD",0,"ontime"
"DH",1350,"EWR","01/02/2004","IAD",0,"delayed"
"DH",1512,"EWR","01/02/2004","IAD",0,"delayed"
"DH",629,"EWR","01/02/2004","IAD",0,"ontime"
"RU",1625,"EWR","01/02/2004","DCA",0,"ontime"
"RU",655,"EWR","01/02/2004","IAD",0,"ontime"
"RU",858,"EWR","01/02/2004","DCA",0,"ontime"
"RU",657,"EWR","01/02/2004","DCA",0,"ontime"
"RU",1650,"EWR","01/02/2004","IAD",0,"ontime"
"RU",1856,"EWR","01/02/2004","IAD",0,"ontime"
"RU",1253,"EWR","01/02/2004","IAD",0,"ontime"
"RU",854,"EWR","01/02/2004","IAD",0,"ontime"
"RU",1858,"EWR","01/02/2004","DCA",0,"ontime"
"RU",2050,"EWR","01/02/2004","DCA",0,"ontime"
"RU",1358,"EWR","01/02/2004","DCA",0,"ontime"
"RU",1510,"EWR","01/02/2004","IAD",0,"delayed"
"RU",1519,"EWR","01/02/2004","DCA",0,"ontime"
"DH",1243,"LGA","01/03/2004","IAD",0,"ontime"
"DH",1738,"LGA","01/03/2004","IAD",0,"ontime"
"DH",640,"LGA","01/03/2004","IAD",0,"ontime"
"DH",1030,"LGA","01/03/2004","IAD",0,"ontime"
"DH",855,"JFK","01/03/2004","IAD",0,"ontime"
"DH",1237,"JFK","01/03/2004","IAD",0,"ontime"
"DH",1455,"JFK","01/03/2004","IAD",0,"ontime"
"DH",1654,"JFK","01/03/2004","IAD",0,"ontime"
"DH",1741,"JFK","01/03/2004","IAD",0,"ontime"
"DH",2213,"JFK","01/03/2004","IAD",0,"delayed"
"DH",1604,"JFK","01/03/2004","IAD",0,"ontime"
"DH",2138,"LGA","01/03/2004","IAD",0,"ontime"
"DL",1505,"JFK","01/03/2004","DCA",0,"delayed"
"DL",828,"LGA","01/03/2004","DCA",0,"ontime"
"DL",1030,"LGA","01/03/2004","DCA",0,"ontime"
"DL",1230,"LGA","01/03/2004","DCA",0,"ontime"
"DL",1428,"LGA","01/03/2004","DCA",0,"ontime"
"DL",1629,"LGA","01/03/2004","DCA",0,"ontime"
"DL",1829,"LGA","01/03/2004","DCA",0,"ontime"
"DL",2024,"LGA","01/03/2004","DCA",0,"ontime"
"MQ",1600,"JFK","01/03/2004","DCA",0,"delayed"
"MQ",555,"JFK","01/03/2004","DCA",0,"ontime"
"MQ",1829,"JFK","01/03/2004","DCA",0,"ontime"
"MQ",855,"LGA","01/03/2004","DCA",0,"ontime"
"MQ",1254,"LGA","01/03/2004","DCA",0,"ontime"
"UA",849,"LGA","01/03/2004","IAD",0,"ontime"
"US",655,"LGA","01/03/2004","DCA",0,"ontime"
"US",858,"LGA","01/03/2004","DCA",0,"ontime"
"US",1059,"LGA","01/03/2004","DCA",0,"ontime"
"US",1256,"LGA","01/03/2004","DCA",0,"ontime"
"US",1500,"LGA","01/03/2004","DCA",0,"ontime"
"US",1658,"LGA","01/03/2004","DCA",0,"ontime"
"US",1857,"LGA","01/03/2004","DCA",0,"ontime"
"RU",1714,"EWR","01/03/2004","BWI",0,"ontime"
"RU",655,"EWR","01/03/2004","BWI",0,"ontime"
"RU",1026,"EWR","01/03/2004","BWI",0,"ontime"
"RU",1448,"EWR","01/03/2004","BWI",0,"ontime"
"CO",1255,"EWR","01/03/2004","DCA",0,"ontime"
"DH",857,"EWR","01/03/2004","IAD",0,"delayed"
"DH",1705,"EWR","01/03/2004","IAD",0,"ontime"
"DH",1329,"EWR","01/03/2004","IAD",0,"delayed"
"DH",2126,"EWR","01/03/2004","IAD",0,"ontime"
"DH",625,"EWR","01/03/2004","IAD",0,"ontime"
"RU",1722,"EWR","01/03/2004","IAD",0,"ontime"
"RU",1356,"EWR","01/03/2004","DCA",0,"ontime"
"RU",658,"EWR","01/03/2004","IAD",0,"ontime"
"RU",941,"EWR","01/03/2004","DCA",0,"ontime"
"RU",1738,"EWR","01/03/2004","DCA",0,"ontime"
"RU",1556,"EWR","01/03/2004","DCA",0,"ontime"
"RU",1511,"EWR","01/03/2004","IAD",0,"ontime"
"RU",703,"EWR","01/03/2004","DCA",0,"ontime"
"OH",1605,"JFK","01/04/2004","BWI",0,"delayed"
"DH",1644,"JFK","01/04/2004","DCA",0,"ontime"
"DH",1249,"LGA","01/04/2004","IAD",0,"ontime"
"DH",1535,"LGA","01/04/2004","IAD",0,"delayed"
"DH",1837,"LGA","01/04/2004","IAD",0,"delayed"
"DH",640,"LGA","01/04/2004","IAD",0,"ontime"
"DH",1032,"LGA","01/04/2004","IAD",0,"ontime"
"DH",900,"JFK","01/04/2004","IAD",0,"ontime"
"DH",1243,"JFK","01/04/2004","IAD",0,"ontime"
"DH",1504,"JFK","01/04/2004","IAD",0,"ontime"
"DH",1642,"JFK","01/04/2004","IAD",0,"ontime"
"DH",1709,"JFK","01/04/2004","IAD",0,"ontime"
"DH",2120,"JFK","01/04/2004","IAD",0,"ontime"
"DH",1607,"JFK","01/04/2004","IAD",0,"ontime"
"DH",2116,"LGA","01/04/2004","IAD",0,"ontime"
"DL",1500,"JFK","01/04/2004","DCA",0,"ontime"
"DL",828,"LGA","01/04/2004","DCA",0,"ontime"
"DL",1028,"LGA","01/04/2004","DCA",0,"ontime"
"DL",1230,"LGA","01/04/2004","DCA",0,"ontime"
"DL",1432,"LGA","01/04/2004","DCA",0,"ontime"
"DL",1629,"LGA","01/04/2004","DCA",0,"ontime"
"DL",1832,"LGA","01/04/2004","DCA",0,"ontime"
"DL",2030,"LGA","01/04/2004","DCA",0,"ontime"
"MQ",1534,"JFK","01/04/2004","DCA",0,"delayed"
"MQ",554,"JFK","01/04/2004","DCA",0,"ontime"
"MQ",745,"JFK","01/04/2004","DCA",0,"ontime"
"MQ",1858,"JFK","01/04/2004","DCA",0,"delayed"
"MQ",1257,"LGA","01/04/2004","DCA",0,"ontime"
"MQ",1458,"LGA","01/04/2004","DCA",0,"delayed"
"MQ",1659,"LGA","01/04/2004","DCA",0,"ontime"
"MQ",1936,"LGA","01/04/2004","DCA",0,"delayed"
"UA",849,"LGA","01/04/2004","IAD",0,"ontime"
"US",858,"LGA","01/04/2004","DCA",0,"ontime"
"US",954,"LGA","01/04/2004","DCA",0,"ontime"
"US",1055,"LGA","01/04/2004","DCA",0,"ontime"
"US",1158,"LGA","01/04/2004","DCA",0,"ontime"
"US",1257,"LGA","01/04/2004","DCA",0,"ontime"
"US",1359,"LGA","01/04/2004","DCA",0,"ontime"
"US",1456,"LGA","01/04/2004","DCA",0,"ontime"
"US",1559,"LGA","01/04/2004","DCA",0,"ontime"
"US",1658,"LGA","01/04/2004","DCA",0,"ontime"
"US",1758,"LGA","01/04/2004","DCA",0,"ontime"
"US",1857,"LGA","01/04/2004","DCA",0,"ontime"
"US",1957,"LGA","01/04/2004","DCA",0,"ontime"
"US",2059,"LGA","01/04/2004","DCA",0,"ontime"
"RU",1615,"EWR","01/04/2004","BWI",0,"delayed"
"RU",1416,"EWR","01/04/2004","BWI",0,"delayed"
"RU",2030,"EWR","01/04/2004","BWI",0,"delayed"
"RU",1235,"EWR","01/04/2004","BWI",0,"delayed"
"CO",1255,"EWR","01/04/2004","DCA",0,"ontime"
"CO",1833,"EWR","01/04/2004","DCA",0,"delayed"
"DH",857,"EWR","01/04/2004","IAD",0,"ontime"
"DH",1917,"EWR","01/04/2004","IAD",0,"delayed"
"DH",1310,"EWR","01/04/2004","IAD",0,"delayed"
"DH",2221,"EWR","01/04/2004","IAD",0,"delayed"
"DH",1600,"EWR","01/04/2004","IAD",0,"delayed"
"RU",1952,"EWR","01/04/2004","DCA",0,"delayed"
"RU",927,"EWR","01/04/2004","DCA",0,"ontime"
"RU",858,"EWR","01/04/2004","IAD",0,"ontime"
"RU",2110,"EWR","01/04/2004","IAD",0,"delayed"
"RU",1356,"EWR","01/04/2004","DCA",0,"delayed"
"RU",2120,"EWR","01/04/2004","DCA",0,"delayed"
"RU",1557,"EWR","01/04/2004","IAD",0,"delayed"
"OH",1610,"JFK","01/05/2004","BWI",0,"delayed"
"DH",1638,"JFK","01/05/2004","DCA",0,"delayed"
"DH",1338,"LGA","01/05/2004","IAD",0,"delayed"
"DH",1606,"LGA","01/05/2004","IAD",0,"delayed"
"DH",1848,"LGA","01/05/2004","IAD",0,"delayed"
"DH",633,"LGA","01/05/2004","IAD",0,"delayed"
"DH",1054,"LGA","01/05/2004","IAD",0,"ontime"
"DH",946,"JFK","01/05/2004","IAD",0,"delayed"
"DH",1312,"JFK","01/05/2004","IAD",0,"delayed"
"DH",1700,"JFK","01/05/2004","IAD",0,"ontime"
"DH",1709,"JFK","01/05/2004","IAD",0,"ontime"
"DH",2200,"JFK","01/05/2004","IAD",0,"delayed"
"DH",1651,"JFK","01/05/2004","IAD",0,"delayed"
"DH",2125,"LGA","01/05/2004","IAD",0,"ontime"
"DL",1459,"JFK","01/05/2004","DCA",0,"ontime"
"DL",630,"LGA","01/05/2004","DCA",0,"ontime"
"DL",734,"LGA","01/05/2004","DCA",0,"ontime"
"DL",830,"LGA","01/05/2004","DCA",0,"ontime"
"DL",932,"LGA","01/05/2004","DCA",0,"ontime"
"DL",1031,"LGA","01/05/2004","DCA",0,"ontime"
"DL",1128,"LGA","01/05/2004","DCA",0,"ontime"
"DL",1230,"LGA","01/05/2004","DCA",0,"ontime"
"DL",1329,"LGA","01/05/2004","DCA",0,"ontime"
"DL",1427,"LGA","01/05/2004","DCA",0,"ontime"
"DL",1635,"LGA","01/05/2004","DCA",0,"ontime"
"DL",1730,"LGA","01/05/2004","DCA",0,"ontime"
"DL",1829,"LGA","01/05/2004","DCA",0,"ontime"
"DL",1955,"LGA","01/05/2004","DCA",0,"delayed"
"DL",2028,"LGA","01/05/2004","DCA",0,"ontime"
"MQ",1538,"JFK","01/05/2004","DCA",0,"ontime"
"MQ",557,"JFK","01/05/2004","DCA",0,"ontime"
"MQ",656,"LGA","01/05/2004","DCA",0,"ontime"
"MQ",758,"LGA","01/05/2004","DCA",0,"ontime"
"MQ",859,"LGA","01/05/2004","DCA",0,"ontime"
"MQ",1103,"LGA","01/05/2004","DCA",0,"ontime"
"MQ",1250,"LGA","01/05/2004","DCA",0,"ontime"
"MQ",1627,"LGA","01/05/2004","DCA",0,"delayed"
"MQ",1702,"LGA","01/05/2004","DCA",0,"ontime"
"MQ",1949,"LGA","01/05/2004","DCA",0,"delayed"
"UA",848,"LGA","01/05/2004","IAD",0,"ontime"
"US",627,"LGA","01/05/2004","DCA",0,"delayed"
"US",657,"LGA","01/05/2004","DCA",0,"ontime"
"US",757,"LGA","01/05/2004","DCA",0,"ontime"
"US",900,"LGA","01/05/2004","DCA",0,"ontime"
"US",958,"LGA","01/05/2004","DCA",0,"ontime"
"US",1057,"LGA","01/05/2004","DCA",0,"ontime"
"US",1155,"LGA","01/05/2004","DCA",0,"ontime"
"US",1257,"LGA","01/05/2004","DCA",0,"ontime"
"US",1358,"LGA","01/05/2004","DCA",0,"ontime"
"US",1500,"LGA","01/05/2004","DCA",0,"ontime"
"US",1601,"LGA","01/05/2004","DCA",0,"ontime"
"US",1657,"LGA","01/05/2004","DCA",0,"ontime"
"US",1757,"LGA","01/05/2004","DCA",0,"ontime"
"US",1857,"LGA","01/05/2004","DCA",0,"ontime"
"US",1959,"LGA","01/05/2004","DCA",0,"ontime"
"US",2100,"LGA","01/05/2004","DCA",0,"ontime"
"RU",744,"EWR","01/05/2004","BWI",0,"delayed"
"RU",1527,"EWR","01/05/2004","BWI",0,"delayed"
"RU",1221,"EWR","01/05/2004","BWI",0,"delayed"
"CO",1324,"EWR","01/05/2004","DCA",0,"delayed"
"CO",757,"EWR","01/05/2004","DCA",0,"ontime"
"CO",1846,"EWR","01/05/2004","DCA",0,"delayed"
"DH",844,"EWR","01/05/2004","IAD",0,"ontime"
"DH",1920,"EWR","01/05/2004","IAD",0,"delayed"
"DH",1357,"EWR","01/05/2004","IAD",0,"delayed"
"DH",2312,"EWR","01/05/2004","IAD",0,"delayed"
"DH",1536,"EWR","01/05/2004","IAD",0,"delayed"
"DH",624,"EWR","01/05/2004","IAD",0,"ontime"
"RU",700,"EWR","01/05/2004","DCA",0,"ontime"
"RU",1056,"EWR","01/05/2004","DCA",0,"delayed"
"RU",1321,"EWR","01/05/2004","IAD",0,"delayed"
"RU",2105,"EWR","01/05/2004","DCA",0,"ontime"
"RU",655,"EWR","01/05/2004","IAD",0,"ontime"
"RU",1454,"EWR","01/05/2004","DCA",0,"delayed"
"RU",2104,"EWR","01/05/2004","DCA",0,"delayed"
"RU",1602,"EWR","01/05/2004","IAD",0,"delayed"
"RU",855,"EWR","01/05/2004","IAD",0,"ontime"
"RU",1617,"EWR","01/05/2004","DCA",0,"delayed"
"OH",1455,"JFK","01/06/2004","BWI",0,"ontime"
"DH",1240,"LGA","01/06/2004","IAD",0,"ontime"
"DH",1451,"LGA","01/06/2004","IAD",0,"ontime"
"DH",1752,"LGA","01/06/2004","IAD",0,"ontime"
"DH",635,"LGA","01/06/2004","IAD",0,"ontime"
"DH",1034,"LGA","01/06/2004","IAD",0,"ontime"
"DH",855,"JFK","01/06/2004","IAD",0,"ontime"
"DH",1237,"JFK","01/06/2004","IAD",0,"ontime"
"DH",1453,"JFK","01/06/2004","IAD",0,"ontime"
"DH",1641,"JFK","01/06/2004","IAD",0,"ontime"
"DH",1756,"JFK","01/06/2004","IAD",0,"delayed"
"DH",2153,"JFK","01/06/2004","IAD",0,"delayed"
"DH",1607,"JFK","01/06/2004","IAD",0,"ontime"
"DH",2118,"LGA","01/06/2004","IAD",0,"ontime"
"DL",1457,"JFK","01/06/2004","DCA",0,"ontime"
"DL",629,"LGA","01/06/2004","DCA",0,"ontime"
"DL",728,"LGA","01/06/2004","DCA",0,"ontime"
"DL",829,"LGA","01/06/2004","DCA",0,"ontime"
"DL",930,"LGA","01/06/2004","DCA",0,"ontime"
"DL",1030,"LGA","01/06/2004","DCA",0,"ontime"
"DL",1130,"LGA","01/06/2004","DCA",0,"ontime"
"DL",1230,"LGA","01/06/2004","DCA",0,"ontime"
"DL",1327,"LGA","01/06/2004","DCA",0,"ontime"
"DL",1428,"LGA","01/06/2004","DCA",0,"ontime"
"DL",1529,"LGA","01/06/2004","DCA",0,"ontime"
"DL",1629,"LGA","01/06/2004","DCA",0,"ontime"
"DL",1728,"LGA","01/06/2004","DCA",0,"ontime"
"DL",1830,"LGA","01/06/2004","DCA",0,"ontime"
"DL",1929,"LGA","01/06/2004","DCA",0,"ontime"
"DL",2031,"LGA","01/06/2004","DCA",0,"ontime"
"MQ",1548,"JFK","01/06/2004","DCA",0,"ontime"
"MQ",558,"JFK","01/06/2004","DCA",0,"ontime"
"MQ",1843,"JFK","01/06/2004","DCA",0,"ontime"
"MQ",655,"LGA","01/06/2004","DCA",0,"ontime"
"MQ",817,"LGA","01/06/2004","DCA",0,"ontime"
"MQ",852,"LGA","01/06/2004","DCA",0,"ontime"
"MQ",1100,"LGA","01/06/2004","DCA",0,"ontime"
"MQ",1313,"LGA","01/06/2004","DCA",0,"ontime"
"MQ",1355,"LGA","01/06/2004","DCA",0,"ontime"
"MQ",1535,"LGA","01/06/2004","DCA",0,"delayed"
"MQ",1555,"LGA","01/06/2004","DCA",0,"ontime"
"MQ",1654,"LGA","01/06/2004","DCA",0,"ontime"
"MQ",1904,"LGA","01/06/2004","DCA",0,"ontime"
"UA",850,"LGA","01/06/2004","IAD",0,"ontime"
"US",629,"LGA","01/06/2004","DCA",0,"ontime"
"US",657,"LGA","01/06/2004","DCA",0,"ontime"
"US",758,"LGA","01/06/2004","DCA",0,"ontime"
"US",858,"LGA","01/06/2004","DCA",0,"ontime"
"US",1000,"LGA","01/06/2004","DCA",0,"ontime"
"US",1056,"LGA","01/06/2004","DCA",0,"ontime"
"US",1158,"LGA","01/06/2004","DCA",0,"ontime"
"US",1259,"LGA","01/06/2004","DCA",0,"ontime"
"US",1357,"LGA","01/06/2004","DCA",0,"ontime"
"US",1458,"LGA","01/06/2004","DCA",0,"ontime"
"US",1557,"LGA","01/06/2004","DCA",0,"ontime"
"US",1657,"LGA","01/06/2004","DCA",0,"ontime"
"US",1758,"LGA","01/06/2004","DCA",0,"ontime"
"US",1855,"LGA","01/06/2004","DCA",0,"ontime"
"US",1958,"LGA","01/06/2004","DCA",0,"ontime"
"US",2104,"LGA","01/06/2004","DCA",0,"ontime"
"RU",1451,"EWR","01/06/2004","BWI",0,"ontime"
"RU",1729,"EWR","01/06/2004","BWI",0,"delayed"
"RU",658,"EWR","01/06/2004","BWI",0,"ontime"
"RU",1037,"EWR","01/06/2004","BWI",0,"ontime"
"CO",1740,"EWR","01/06/2004","DCA",0,"delayed"
"CO",1256,"EWR","01/06/2004","DCA",0,"ontime"
"CO",1856,"EWR","01/06/2004","DCA",0,"delayed"
"CO",727,"EWR","01/06/2004","DCA",0,"ontime"
"DH",847,"EWR","01/06/2004","IAD",0,"ontime"
"DH",1705,"EWR","01/06/2004","IAD",0,"ontime"
"DH",1236,"EWR","01/06/2004","IAD",0,"ontime"
"DH",2118,"EWR","01/06/2004","IAD",0,"ontime"
"DH",1435,"EWR","01/06/2004","IAD",0,"ontime"
"DH",622,"EWR","01/06/2004","IAD",0,"ontime"
"RU",2222,"EWR","01/06/2004","DCA",0,"delayed"
"RU",859,"EWR","01/06/2004","DCA",0,"ontime"
"RU",1901,"EWR","01/06/2004","IAD",0,"delayed"
"RU",1457,"EWR","01/06/2004","IAD",0,"ontime"
"RU",656,"EWR","01/06/2004","IAD",0,"ontime"
"RU",1644,"EWR","01/06/2004","DCA",0,"delayed"
"RU",1253,"EWR","01/06/2004","IAD",0,"ontime"
"RU",1356,"EWR","01/06/2004","DCA",0,"ontime"
"RU",1656,"EWR","01/06/2004","IAD",0,"ontime"
"RU",1627,"EWR","01/06/2004","DCA",0,"ontime"
"RU",644,"EWR","01/06/2004","DCA",0,"ontime"
"OH",1455,"JFK","01/07/2004","BWI",0,"ontime"
"DH",1639,"JFK","01/07/2004","DCA",0,"ontime"
"DH",1306,"LGA","01/07/2004","IAD",0,"ontime"
"DH",1445,"LGA","01/07/2004","IAD",0,"ontime"
"DH",1813,"LGA","01/07/2004","IAD",0,"delayed"
"DH",640,"LGA","01/07/2004","IAD",0,"ontime"
"DH",1038,"LGA","01/07/2004","IAD",0,"ontime"
"DH",831,"JFK","01/07/2004","IAD",0,"ontime"
"DH",1240,"JFK","01/07/2004","IAD",0,"ontime"
"DH",1521,"JFK","01/07/2004","IAD",0,"ontime"
"DH",1638,"JFK","01/07/2004","IAD",0,"ontime"
"DH",1922,"JFK","01/07/2004","IAD",0,"delayed"
"DH",2120,"JFK","01/07/2004","IAD",0,"ontime"
"DH",1606,"JFK","01/07/2004","IAD",0,"ontime"
"DL",1501,"JFK","01/07/2004","DCA",0,"ontime"
"DL",631,"LGA","01/07/2004","DCA",0,"ontime"
"DL",831,"LGA","01/07/2004","DCA",0,"ontime"
"DL",932,"LGA","01/07/2004","DCA",0,"ontime"
"DL",1030,"LGA","01/07/2004","DCA",0,"ontime"
"DL",1131,"LGA","01/07/2004","DCA",0,"ontime"
"DL",1231,"LGA","01/07/2004","DCA",0,"ontime"
"DL",1329,"LGA","01/07/2004","DCA",0,"ontime"
"DL",1430,"LGA","01/07/2004","DCA",0,"ontime"
"DL",1528,"LGA","01/07/2004","DCA",0,"ontime"
"DL",1629,"LGA","01/07/2004","DCA",0,"ontime"
"DL",1728,"LGA","01/07/2004","DCA",0,"ontime"
"DL",1828,"LGA","01/07/2004","DCA",0,"ontime"
"DL",1927,"LGA","01/07/2004","DCA",0,"ontime"
"DL",2030,"LGA","01/07/2004","DCA",0,"ontime"
"MQ",1530,"JFK","01/07/2004","DCA",0,"ontime"
"MQ",555,"JFK","01/07/2004","DCA",0,"ontime"
"MQ",1918,"JFK","01/07/2004","DCA",0,"delayed"
"MQ",655,"LGA","01/07/2004","DCA",0,"ontime"
"MQ",746,"LGA","01/07/2004","DCA",0,"ontime"
"MQ",854,"LGA","01/07/2004","DCA",0,"ontime"
"MQ",1056,"LGA","01/07/2004","DCA",0,"ontime"
"MQ",1256,"LGA","01/07/2004","DCA",0,"ontime"
"MQ",1352,"LGA","01/07/2004","DCA",0,"ontime"
"MQ",1457,"LGA","01/07/2004","DCA",0,"delayed"
"MQ",1624,"LGA","01/07/2004","DCA",0,"delayed"
"MQ",2014,"LGA","01/07/2004","DCA",0,"delayed"
"UA",849,"LGA","01/07/2004","IAD",0,"ontime"
"US",628,"LGA","01/07/2004","DCA",0,"ontime"
"US",658,"LGA","01/07/2004","DCA",0,"ontime"
"US",757,"LGA","01/07/2004","DCA",0,"ontime"
"US",857,"LGA","01/07/2004","DCA",0,"ontime"
"US",956,"LGA","01/07/2004","DCA",0,"ontime"
"US",1058,"LGA","01/07/2004","DCA",0,"ontime"
"US",1157,"LGA","01/07/2004","DCA",0,"ontime"
"US",1256,"LGA","01/07/2004","DCA",0,"ontime"
"US",1354,"LGA","01/07/2004","DCA",0,"ontime"
"US",1457,"LGA","01/07/2004","DCA",0,"delayed"
"US",1600,"LGA","01/07/2004","DCA",0,"delayed"
"US",1656,"LGA","01/07/2004","DCA",0,"ontime"
"US",1758,"LGA","01/07/2004","DCA",0,"ontime"
"US",1859,"LGA","01/07/2004","DCA",0,"ontime"
"US",1959,"LGA","01/07/2004","DCA",0,"delayed"
"US",2054,"LGA","01/07/2004","DCA",0,"ontime"
"RU",659,"EWR","01/07/2004","BWI",0,"ontime"
"RU",1459,"EWR","01/07/2004","BWI",0,"ontime"
"RU",1920,"EWR","01/07/2004","BWI",0,"delayed"
"RU",1044,"EWR","01/07/2004","BWI",0,"delayed"
"CO",1255,"EWR","01/07/2004","DCA",0,"ontime"
