age,marital,balance,loan,contact,y
40,single,462,yes,cellular,no
32,married,1031,no,cellular,no
42,married,9009,no,cellular,no
43,married,-465,yes,cellular,no
44,married,5181,yes,cellular,no
37,married,176,no,cellular,no
37,married,1699,no,unknown,no
37,married,0,no,cellular,no
28,single,172,yes,cellular,no
32,single,0,yes,cellular,no
34,single,6979,no,cellular,no
40,divorced,6,no,unknown,no
34,married,-62,no,unknown,no
34,married,1972,no,cellular,no
34,married,899,no,telephone,no
37,single,21,no,cellular,no
36,married,23,no,cellular,no
56,married,-1206,no,cellular,yes
49,married,0,yes,telephone,no
33,married,215,no,cellular,no
30,single,1372,no,cellular,no
36,married,1981,no,unknown,no
23,single,9216,no,cellular,no
57,divorced,39,no,cellular,no
27,single,5563,no,unknown,no
38,married,1,yes,cellular,no
42,married,782,no,cellular,no
75,married,3771,no,telephone,yes
34,single,992,no,cellular,no
48,married,1526,no,cellular,no
35,single,2658,no,cellular,yes
39,divorced,1315,no,cellular,no
29,single,455,no,telephone,yes
45,single,0,no,cellular,no
42,married,2030,yes,cellular,no
29,married,1599,no,cellular,no
38,single,-196,no,cellular,no
56,married,1333,no,cellular,no
36,single,9149,no,cellular,no
25,single,-350,no,unknown,no
38,married,432,no,cellular,no
57,married,11494,no,cellular,no
31,married,-253,no,cellular,no
42,married,372,no,cellular,yes
45,married,1410,no,cellular,no
30,married,975,no,cellular,no
49,married,305,yes,telephone,no
49,married,400,no,cellular,no
53,married,-22,no,cellular,no
37,married,4030,no,unknown,no
49,married,365,no,unknown,no
41,married,204,no,cellular,no
54,married,1691,no,cellular,no
32,single,406,no,unknown,no
33,married,-204,no,cellular,no
33,married,359,no,cellular,no
36,married,123,no,cellular,no
35,married,0,yes,cellular,no
52,married,142,no,cellular,no
40,married,3571,no,unknown,no
44,single,33,no,cellular,no
45,single,0,no,cellular,no
30,single,3096,no,cellular,no
48,divorced,20,no,cellular,no
33,married,3576,no,cellular,no
57,married,206,no,unknown,no
57,married,7082,no,unknown,no
51,married,1634,no,cellular,no
34,single,1,no,cellular,no
50,married,4012,no,cellular,no
44,married,3762,no,cellular,no
27,married,-247,yes,unknown,no
50,married,606,no,unknown,no
36,married,0,no,cellular,no
42,married,-189,no,unknown,no
32,single,0,no,cellular,no
42,married,484,no,cellular,no
43,married,0,yes,cellular,no
31,married,395,no,cellular,no
32,married,2349,no,cellular,no
55,divorced,410,yes,cellular,no
58,married,3401,no,cellular,no
46,married,222,no,cellular,no
55,married,989,yes,unknown,no
34,married,415,yes,cellular,no
28,single,16,no,cellular,no
42,divorced,7190,no,cellular,no
29,single,482,yes,cellular,yes
54,married,209,yes,cellular,no
32,single,0,no,cellular,no
39,single,5803,no,cellular,no
53,married,624,yes,cellular,no
58,married,883,no,cellular,no
40,married,1516,yes,unknown,no
29,single,872,no,unknown,no
33,married,-988,yes,cellular,no
38,single,902,no,telephone,no
56,divorced,1007,no,cellular,no
40,married,0,no,cellular,no
24,single,174,yes,cellular,yes
46,married,12186,no,unknown,no
35,married,524,no,cellular,no
35,single,0,no,cellular,no
34,married,4,no,unknown,no
35,married,11219,no,cellular,no
38,single,0,no,cellular,no
50,married,5776,no,cellular,no
51,divorced,37,no,cellular,no
59,married,593,no,unknown,no
32,married,1148,no,cellular,no
37,single,3561,no,unknown,no
42,divorced,63,no,unknown,no
40,married,260,no,unknown,no
28,single,2269,no,unknown,no
47,married,1060,no,unknown,no
27,married,-220,no,unknown,no
41,married,49,no,cellular,no
34,married,69,yes,cellular,yes
50,married,4108,no,cellular,yes
47,married,480,no,unknown,no
53,married,4994,no,cellular,no
53,divorced,0,yes,cellular,no
47,married,3681,no,cellular,no
49,divorced,-701,no,cellular,yes
29,married,451,no,cellular,no
45,divorced,-311,no,unknown,yes
38,married,593,yes,cellular,yes
32,married,759,no,cellular,yes
70,divorced,4531,no,cellular,no
65,divorced,1840,no,cellular,no
56,married,345,no,telephone,no
35,married,1287,no,cellular,no
56,married,353,yes,cellular,no
56,married,205,yes,cellular,no
49,married,687,no,cellular,yes
38,married,1147,yes,unknown,no
35,married,4286,no,unknown,no
38,married,605,no,cellular,no
49,married,8545,yes,cellular,no
55,married,559,no,cellular,no
43,single,2,no,cellular,no
43,married,2,yes,cellular,no
25,single,760,no,cellular,yes
30,married,1317,no,unknown,no
46,married,182,no,cellular,no
50,married,276,yes,unknown,no
35,married,2971,no,cellular,yes
26,single,1064,no,unknown,no
45,married,1783,no,unknown,no
37,married,-67,no,cellular,no
60,single,179,yes,cellular,no
38,married,1199,no,cellular,yes
47,married,214,yes,unknown,no
33,married,6699,no,cellular,no
51,married,1760,yes,cellular,no
35,single,145,no,cellular,yes
35,married,978,no,cellular,yes
48,single,1150,no,unknown,no
37,married,121,no,cellular,no
29,single,828,no,cellular,no
34,married,244,no,cellular,no
32,married,228,no,cellular,yes
30,single,424,no,cellular,yes
47,divorced,447,yes,unknown,no
33,married,-195,no,unknown,no
33,single,1410,no,cellular,no
63,married,1084,no,cellular,no
51,divorced,10924,no,cellular,no
41,married,832,yes,cellular,no
56,married,478,no,cellular,no
60,single,0,yes,cellular,no
41,single,3950,no,unknown,no
37,single,504,no,cellular,no
36,single,219,yes,cellular,no
57,married,1602,no,cellular,no
55,married,2587,no,cellular,yes
44,married,0,yes,unknown,no
47,married,2303,no,cellular,no
31,married,1660,no,cellular,no
35,married,32,no,cellular,no
39,married,278,yes,cellular,no
50,married,4,no,cellular,no
29,married,318,no,cellular,no
30,single,209,no,unknown,no
46,married,271,no,unknown,no
27,single,3196,no,cellular,no
48,divorced,4099,no,cellular,yes
26,single,2572,no,cellular,no
36,single,339,no,cellular,no
42,married,0,yes,cellular,no
50,married,395,no,unknown,no
49,married,2039,no,cellular,no
45,married,5450,no,cellular,no
23,single,780,no,cellular,no
38,single,0,no,cellular,no
32,single,8436,no,cellular,no
60,single,11262,no,cellular,yes
30,married,946,no,cellular,no
58,married,497,no,unknown,no
60,married,55,no,cellular,no
38,married,-140,no,unknown,no
51,married,-379,no,cellular,no
42,married,-396,no,cellular,no
30,single,0,no,cellular,no
40,married,733,no,unknown,no
37,married,393,no,cellular,yes
53,divorced,7290,no,unknown,no
27,single,468,no,cellular,no
39,married,0,no,cellular,no
39,married,3705,no,unknown,no
59,married,9676,no,telephone,yes
37,married,1328,no,telephone,no
41,married,8,no,cellular,no
45,married,61,no,cellular,no
48,married,6613,no,unknown,no
48,married,302,no,unknown,no
32,married,1005,no,cellular,no
35,married,109,no,unknown,no
33,single,1240,no,cellular,no
28,single,0,yes,unknown,no
64,married,2923,no,cellular,no
35,married,0,no,cellular,no
33,married,43,no,cellular,no
41,married,288,no,unknown,no
34,married,613,no,cellular,no
37,single,6101,no,cellular,no
38,married,168,yes,telephone,no
39,married,7685,no,cellular,no
35,divorced,4515,no,cellular,no
28,single,517,yes,cellular,yes
27,single,148,no,cellular,no
48,married,-285,yes,cellular,no
50,married,887,no,unknown,no
45,married,3098,no,cellular,no
41,married,744,no,unknown,no
39,married,130,no,cellular,no
44,married,438,no,telephone,no
54,married,0,no,cellular,yes
49,married,322,no,cellular,no
34,single,186,no,cellular,no
75,divorced,3810,no,cellular,yes
42,married,0,no,cellular,no
53,married,4380,no,telephone,no
49,divorced,755,no,cellular,yes
31,single,2070,no,cellular,no
45,single,999,no,cellular,no
39,married,167,yes,cellular,no
46,married,1322,yes,cellular,no
42,divorced,1076,no,unknown,no
37,married,502,no,cellular,no
26,single,1216,no,cellular,no
37,single,876,no,cellular,no
36,single,342,no,unknown,no
29,single,950,no,unknown,no
36,married,973,yes,unknown,no
26,married,3825,no,unknown,no
32,married,2366,no,unknown,no
40,married,542,no,cellular,no
53,married,995,no,cellular,no
29,married,20,no,cellular,no
34,single,228,no,cellular,no
43,married,130,no,cellular,no
56,married,217,yes,cellular,no
55,divorced,0,no,unknown,no
31,married,259,no,cellular,no
27,single,619,no,cellular,no
36,married,644,no,cellular,no
44,married,22,no,cellular,no
37,divorced,4303,no,unknown,no
30,single,239,no,cellular,no
42,single,275,no,cellular,no
30,married,1221,no,telephone,yes
62,married,816,no,cellular,no
24,married,1222,no,cellular,no
31,married,2363,no,unknown,no
66,married,2262,no,cellular,no
47,married,2,no,cellular,no
39,married,2,no,cellular,no
35,married,4508,no,cellular,yes
35,divorced,-402,no,cellular,no
27,married,1577,yes,unknown,no
32,married,34,no,cellular,no
44,married,795,no,cellular,no
42,married,117,no,unknown,no
34,single,5462,no,cellular,yes
25,single,402,yes,cellular,no
40,single,641,no,cellular,no
43,divorced,36,no,cellular,no
55,married,383,no,unknown,no
50,married,283,no,cellular,no
45,divorced,0,no,unknown,no
35,divorced,3102,no,cellular,no
32,married,889,no,cellular,yes
59,married,0,no,telephone,no
34,married,-370,no,unknown,no
39,married,-606,no,unknown,no
40,single,10378,no,cellular,no
36,single,1313,no,unknown,no
40,married,8969,no,cellular,no
55,married,-196,no,unknown,no
38,married,15,no,cellular,no
61,married,4608,no,cellular,yes
41,married,666,no,unknown,no
57,married,452,no,unknown,no
48,married,149,no,unknown,no
77,married,7802,no,telephone,yes
35,married,1453,no,unknown,no
54,married,1480,no,unknown,no
37,single,715,no,unknown,no
56,single,237,no,telephone,no
40,married,694,no,cellular,no
40,married,0,no,cellular,no
54,married,55,no,cellular,no
55,married,136,no,unknown,no
55,divorced,-404,no,cellular,no
52,married,779,no,unknown,no
55,single,1187,no,unknown,no
33,married,641,no,cellular,no
52,married,826,no,unknown,no
33,divorced,991,no,unknown,no
53,married,1796,no,telephone,yes
46,married,22,no,cellular,yes
44,single,244,no,cellular,yes
48,divorced,1328,no,unknown,no
50,married,7317,no,cellular,no
34,single,4943,yes,cellular,no
38,single,258,yes,unknown,no
42,single,515,no,cellular,no
32,single,12607,no,cellular,no
58,married,2,yes,telephone,no
31,married,13,no,cellular,no
19,single,103,no,cellular,yes
41,married,3872,no,cellular,no
31,married,296,no,unknown,no
52,single,217,yes,cellular,no
42,divorced,360,no,unknown,no
41,single,428,no,cellular,no
30,single,315,no,cellular,yes
38,married,121,yes,cellular,no
32,married,820,no,cellular,no
52,married,195,no,cellular,yes
48,divorced,108,no,unknown,no
36,married,-381,no,cellular,no
45,divorced,757,no,cellular,no
34,married,691,yes,unknown,no
36,married,1925,no,cellular,yes
34,married,902,no,cellular,no
61,married,5207,no,cellular,no
54,married,0,no,unknown,no
50,married,665,no,telephone,no
43,divorced,738,no,cellular,no
47,married,233,no,cellular,no
45,married,-839,no,unknown,no
57,married,5799,no,unknown,no
27,married,1033,no,unknown,no
49,divorced,66,no,cellular,no
43,married,2567,no,cellular,no
40,married,1584,no,telephone,no
32,single,182,no,cellular,no
58,married,76,no,telephone,no
34,single,663,no,cellular,no
46,divorced,3455,no,unknown,no
29,married,15,no,cellular,no
52,married,1054,no,cellular,no
45,married,1529,no,cellular,no
26,single,63,no,cellular,no
40,married,0,no,cellular,no
41,married,920,yes,unknown,no
47,single,3696,no,cellular,yes
27,single,59,no,cellular,no
27,married,0,no,cellular,no
48,married,157,no,unknown,no
49,married,2465,no,cellular,no
35,married,0,no,cellular,no
47,married,2,no,cellular,no
54,married,0,no,cellular,no
39,single,12437,no,telephone,no
28,single,378,no,cellular,no
54,married,211,no,unknown,no
34,married,-228,no,cellular,no
63,married,2747,no,cellular,no
42,married,1932,no,unknown,no
43,single,11269,no,unknown,no
37,married,1314,no,cellular,no
55,married,2275,no,cellular,no
43,single,1304,no,cellular,yes
41,married,720,yes,cellular,yes
47,divorced,2914,no,cellular,no
34,married,1464,no,unknown,no
28,single,11555,no,cellular,no
36,married,-302,no,cellular,no
50,married,2497,no,cellular,no
35,married,-339,no,unknown,no
40,married,56,yes,cellular,no
26,single,211,no,cellular,no
36,divorced,3611,no,unknown,no
59,married,0,no,cellular,no
28,single,459,no,cellular,no
46,married,242,no,unknown,no
50,married,1138,no,cellular,no
53,married,1319,no,cellular,no
81,married,1,no,cellular,no
35,divorced,67,no,cellular,no
58,married,937,no,cellular,no
44,married,0,yes,cellular,no
38,married,-558,no,cellular,no
49,married,171,no,cellular,no
33,single,696,yes,cellular,no
29,married,361,yes,cellular,no
28,single,227,no,cellular,yes
31,married,236,yes,telephone,no
33,single,-53,no,cellular,no
52,married,192,no,cellular,no
43,divorced,38,no,cellular,no
32,single,518,no,cellular,no
36,married,16,yes,cellular,no
41,married,-256,no,unknown,no
43,married,105,yes,cellular,no
45,married,334,no,unknown,no
39,married,1048,yes,cellular,no
41,married,108,yes,unknown,no
31,married,660,no,cellular,no
37,single,0,no,cellular,no
28,married,1034,no,cellular,no
47,married,201,no,cellular,no
37,married,189,no,cellular,no
60,divorced,-49,no,cellular,no
43,divorced,1413,no,telephone,no
58,divorced,264,yes,cellular,no
52,married,54,yes,telephone,no
50,married,12519,no,cellular,no
32,single,2881,no,cellular,yes
42,married,0,no,cellular,no
31,married,88,yes,cellular,no
28,married,1020,no,unknown,no
36,divorced,119,no,cellular,no
51,single,1594,no,telephone,no
46,married,342,yes,cellular,no
50,single,72,no,unknown,no
32,married,14,no,unknown,no
26,single,81,no,cellular,no
41,married,231,no,cellular,yes
39,married,1161,no,cellular,no
31,married,-45,no,unknown,no
28,single,231,yes,cellular,no
31,single,36,no,cellular,no
30,married,1570,no,cellular,no
35,married,7050,no,cellular,yes
33,married,3704,no,unknown,no
30,single,6619,no,cellular,no
32,single,-84,no,cellular,no
40,single,1509,no,cellular,no
31,married,1134,no,cellular,no
36,married,146,yes,unknown,no
33,single,9449,no,cellular,no
57,married,374,yes,cellular,no
45,married,88,no,cellular,no
59,married,2764,no,cellular,no
30,single,2,yes,cellular,yes
33,married,8023,no,cellular,no
52,married,289,no,unknown,no
83,married,0,no,cellular,no
58,divorced,1382,no,unknown,yes
33,divorced,280,yes,cellular,no
41,divorced,2195,no,unknown,no
31,married,33,no,cellular,no
35,divorced,275,yes,cellular,no
27,single,703,no,unknown,yes
57,divorced,887,no,unknown,no
56,married,0,no,unknown,no
53,single,1178,no,unknown,no
39,married,2763,no,unknown,yes
32,single,890,yes,cellular,no
46,married,548,no,cellular,yes
56,married,272,no,cellular,no
46,divorced,6269,no,telephone,no
29,married,178,no,cellular,no
60,married,252,yes,cellular,no
33,single,23663,no,cellular,no
27,single,81,no,cellular,no
50,divorced,59,no,unknown,no
45,married,1343,yes,cellular,no
58,married,225,no,cellular,no
59,married,0,no,unknown,no
58,divorced,2538,no,cellular,no
64,married,43,no,cellular,no
47,married,57,no,cellular,no
40,married,-117,no,cellular,no
36,divorced,666,yes,cellular,no
28,single,0,no,cellular,yes
38,single,25,no,cellular,yes
53,married,1034,no,cellular,no
46,single,324,no,unknown,no
54,married,0,no,telephone,no
32,married,0,no,cellular,no
55,married,621,yes,cellular,no
55,divorced,138,no,cellular,no
56,married,4063,yes,telephone,no
40,married,11084,no,unknown,no
44,married,310,no,cellular,no
32,married,73,no,cellular,no
33,married,1808,no,unknown,no
41,divorced,1281,no,cellular,no
37,married,64,no,cellular,no
58,single,2,no,telephone,no
52,married,60,yes,cellular,no
49,single,133,no,unknown,no
44,married,3706,no,unknown,no
28,single,174,no,cellular,no
31,married,251,yes,cellular,no
37,married,4153,no,cellular,no
30,single,985,no,cellular,no
28,single,168,no,cellular,yes
46,married,1550,no,cellular,no
47,married,7708,no,cellular,no
35,married,-12,no,unknown,no
80,married,6483,no,telephone,no
30,single,60,yes,unknown,no
55,single,3339,no,unknown,no
22,single,1161,yes,cellular,no
33,single,599,no,unknown,no
53,married,28,no,cellular,no
49,married,1430,no,cellular,no
51,married,35,yes,cellular,no
41,married,6000,no,cellular,no
34,married,0,no,cellular,no
36,single,340,yes,unknown,no
35,married,0,no,cellular,no
29,married,3,no,cellular,no
40,single,445,no,cellular,no
32,divorced,874,no,cellular,yes
48,married,705,no,unknown,no
59,married,1033,no,unknown,yes
35,divorced,1354,no,unknown,yes
33,single,123,no,cellular,no
55,married,8894,no,unknown,no
41,married,429,no,unknown,no
42,married,14752,no,unknown,no
46,married,67,no,unknown,no
35,divorced,39,no,cellular,no
28,single,102,no,cellular,no
25,single,1790,no,cellular,no
56,single,15311,no,cellular,no
30,single,-635,no,cellular,no
45,married,115,no,cellular,no
40,married,10786,no,unknown,no
40,married,498,no,cellular,no
39,married,1045,yes,cellular,no
48,married,810,no,unknown,no
31,single,-162,no,cellular,no
32,married,55,no,cellular,no
34,married,586,yes,unknown,no
26,single,455,no,cellular,no
31,married,1010,no,cellular,no
37,single,509,no,cellular,no
29,single,2929,no,cellular,no
57,married,3071,yes,cellular,no
47,single,153,no,cellular,no
38,single,1146,no,unknown,no
48,married,1092,yes,cellular,no
50,married,3463,yes,cellular,yes
33,married,1158,no,cellular,no
28,single,26,no,cellular,no
30,single,566,no,cellular,no
52,divorced,204,no,cellular,no
36,married,480,no,cellular,yes
36,single,1855,no,cellular,no
46,married,1034,no,cellular,no
57,married,3250,no,cellular,no
28,single,1633,no,cellular,yes
46,married,0,no,cellular,no
55,married,3334,no,cellular,yes
33,married,4020,yes,cellular,no
53,married,66,yes,telephone,no
41,single,-41,yes,cellular,no
60,married,322,no,cellular,no
35,married,2643,yes,cellular,no
43,divorced,49,no,unknown,no
57,divorced,1,no,unknown,no
46,married,3098,no,telephone,no
31,married,352,no,unknown,no
53,married,65,no,cellular,no
35,married,1949,no,unknown,no
32,single,739,no,cellular,no
48,married,1167,yes,cellular,yes
50,married,231,no,cellular,no
40,married,1136,no,unknown,no
42,married,233,no,cellular,no
59,married,817,no,cellular,no
27,single,1128,no,unknown,no
32,single,1831,no,cellular,no
35,single,450,no,cellular,no
28,married,0,no,cellular,no
37,divorced,414,no,cellular,no
57,married,1052,no,unknown,no
42,single,1022,no,unknown,no
55,married,343,no,cellular,no
52,married,1944,no,cellular,no
26,single,-32,yes,cellular,no
52,married,1781,no,unknown,no
26,single,350,no,cellular,no
33,married,2,no,cellular,no
24,single,111,yes,unknown,no
37,divorced,168,no,unknown,no
28,single,3,no,telephone,no
30,single,102,no,unknown,no
33,married,0,no,unknown,no
55,married,159,no,unknown,no
33,married,1134,no,unknown,no
42,married,352,no,cellular,no
37,married,865,no,cellular,no
59,married,179,no,unknown,no
27,single,5,no,unknown,no
23,married,-230,no,cellular,no
51,divorced,0,no,cellular,no
50,married,3924,no,cellular,no
43,married,764,no,cellular,no
37,divorced,511,no,telephone,no
34,single,4348,no,cellular,no
41,married,3016,no,cellular,no
26,single,279,no,cellular,no
49,divorced,1405,no,unknown,no
29,single,908,no,unknown,yes
30,single,162,no,unknown,no
38,divorced,792,no,unknown,no
58,married,111,no,telephone,no
34,single,1281,no,cellular,no
53,divorced,1012,no,cellular,no
50,married,2881,no,cellular,no
30,single,445,no,cellular,no
40,married,643,no,cellular,no
57,single,254,no,cellular,no
40,married,-1212,no,cellular,no
41,married,2125,yes,cellular,no
53,divorced,629,no,cellular,no
48,married,-202,yes,cellular,no
32,single,271,no,cellular,no
34,married,703,no,cellular,yes
46,married,-216,no,cellular,no
45,divorced,88,yes,cellular,no
51,single,16,no,cellular,no
31,married,466,no,cellular,no
47,married,-75,no,cellular,no
32,married,456,no,cellular,no
41,married,77,no,cellular,no
37,single,-244,no,unknown,no
27,single,1209,no,cellular,no
27,married,58,no,cellular,no
50,married,421,no,cellular,no
31,single,112,no,cellular,no
40,married,13669,no,cellular,no
43,married,1429,no,cellular,yes
39,married,794,no,telephone,no
31,single,1957,no,cellular,no
48,married,454,no,cellular,no
32,single,882,yes,cellular,no
47,married,168,no,telephone,no
35,single,714,no,cellular,no
42,single,0,no,cellular,no
47,married,1996,no,unknown,yes
59,married,163,no,cellular,no
38,married,3190,no,unknown,no
50,married,1772,no,cellular,no
27,single,-151,no,cellular,no
55,married,16,no,unknown,no
39,single,7066,no,cellular,yes
31,single,454,no,cellular,no
37,married,4798,no,unknown,no
28,single,-298,no,unknown,no
42,married,439,no,cellular,no
40,divorced,1927,no,unknown,no
59,single,671,yes,cellular,no
40,single,65,no,cellular,no
43,married,-932,no,cellular,no
38,single,4366,no,cellular,no
54,married,0,no,cellular,no
41,married,4900,no,telephone,no
55,divorced,976,no,cellular,yes
33,married,148,no,unknown,no
46,married,5,no,cellular,no
36,married,-148,no,cellular,no
48,divorced,113,yes,cellular,no
42,married,-105,no,cellular,no
46,divorced,624,no,cellular,yes
49,married,-1680,yes,unknown,no
36,married,-461,no,cellular,no
34,single,144,yes,cellular,no
51,divorced,4,yes,cellular,no
58,married,309,no,cellular,no
48,married,866,no,cellular,no
41,single,1020,no,unknown,yes
49,married,489,no,unknown,no
43,married,8167,no,unknown,no
32,single,-255,yes,unknown,no
54,married,3671,no,unknown,no
33,divorced,636,no,cellular,no
35,married,141,no,cellular,no
56,married,150,yes,cellular,no
57,married,839,yes,unknown,no
31,single,26965,no,cellular,yes
33,single,716,no,cellular,no
29,single,2485,no,telephone,no
38,single,15030,no,cellular,no
37,married,11303,no,cellular,no
33,married,595,no,cellular,no
30,single,19358,no,cellular,no
31,single,203,yes,cellular,no
28,single,183,yes,unknown,no
26,single,255,no,cellular,yes
31,single,102,no,telephone,no
50,divorced,94,no,cellular,no
45,married,58,no,telephone,no
48,married,606,no,cellular,no
41,married,0,yes,cellular,no
60,married,65,no,unknown,yes
41,married,338,no,unknown,no
43,married,757,no,unknown,no
36,married,9269,yes,cellular,no
40,married,1206,yes,telephone,no
28,single,882,yes,cellular,no
27,single,5291,no,cellular,yes
49,single,61,no,cellular,no
37,married,0,no,cellular,no
31,married,1407,no,cellular,no
31,single,25,no,cellular,no
31,married,1354,yes,cellular,no
35,married,793,no,cellular,no
51,divorced,10287,no,unknown,no
33,single,5235,no,cellular,no
30,single,3,no,cellular,no
58,single,409,yes,cellular,no
34,married,35,no,cellular,no
45,married,-459,no,cellular,no
28,single,198,no,cellular,yes
31,married,99,no,cellular,no
40,married,60,no,unknown,no
30,single,3485,no,cellular,no
34,married,-139,yes,unknown,no
40,married,952,yes,unknown,no
59,married,1427,no,unknown,no
43,single,1017,no,unknown,no
41,married,-29,no,cellular,no
33,divorced,9,no,cellular,no
33,married,4040,no,cellular,no
36,married,13,no,unknown,no
32,single,1259,no,cellular,no
25,married,18,no,cellular,no
25,married,-76,no,unknown,no
38,single,221,no,cellular,no
34,married,136,no,cellular,no
67,married,16353,no,cellular,no
32,married,-63,no,unknown,no
45,married,7353,no,cellular,no
33,married,511,no,unknown,no
38,married,3913,no,cellular,no
32,divorced,1097,no,unknown,no
54,divorced,6102,yes,unknown,no
51,divorced,340,no,unknown,no
42,married,-119,no,cellular,no
41,married,2993,no,cellular,no
39,divorced,3575,yes,cellular,no
38,married,361,no,unknown,no
39,married,1072,no,unknown,no
